Environment,cov_lstd,cov_net,cov_dual_lstd,rnd_lstd,rnd
DiscountingChain-bsuite,1.09 (0.00),1.10 (0.00),1.10 (0.00)*,1.07 (0.01),1.08 (0.01)
BernoulliBandit-misc,51.57 (0.03),51.59 (0.03),51.12 (0.05),51.59 (0.05),51.59 (0.05)
GaussianBandit-misc,1.84 (0.21),1.89 (0.32),0.73 (0.36),2.00 (0.29),1.88 (0.23)
MetaMaze-misc,20.76 (0.41),20.31 (0.31),16.64 (1.06),19.28 (0.41),19.50 (0.31)
CartPole-v1,96.60 (1.20),96.56 (0.88),67.33 (0.74),97.37 (0.53)†,94.10 (1.00)
Acrobot-v1,-98.91 (0.43),-99.33 (0.01),-57.29 (0.58)*,-99.34 (0.00),-99.34 (0.00)
UmbrellaChain-bsuite,0.93 (0.01),0.93 (0.01),0.93 (0.01),0.93 (0.01),0.93 (0.01)
Reacher-misc,21.72 (0.16)*,21.34 (0.22),11.49 (0.12),21.61 (0.21),21.98 (0.17)†
PointRobot-misc,2.31 (0.06)*,2.17 (0.03),1.69 (0.10),2.13 (0.09)†,1.80 (0.06)
Swimmer-misc,52.39 (0.68),52.38 (0.94),28.57 (0.85),51.92 (0.66),51.12 (0.83)
Pong-misc,94.17 (3.21),93.58 (2.79),99.98 (0.02)*,92.81 (3.59),95.88 (2.13)
FourRooms-misc,0.77 (0.00),0.77 (0.00),0.58 (0.03),0.77 (0.00),0.77 (0.00)
MNISTBandit-bsuite,0.87 (0.00)*,0.86 (0.00),0.86 (0.00),0.87 (0.00),0.87 (0.00)
Catch-bsuite,0.92 (0.00),0.92 (0.00)*,0.92 (0.00),0.92 (0.00),0.92 (0.00)
SparseMountainCar-v0,0.12 (0.06),0.26 (0.06)*,0.00 (0.00),0.16 (0.05)†,0.06 (0.01)
DeepSea-bsuite,-0.00 (0.00),0.00 (0.00)*,-0.00 (0.00),-0.00 (0.00),0.15 (0.15)
SpaceInvaders-MinAtar,18.45 (0.08)*,17.90 (0.13),14.46 (0.37),18.07 (0.10),18.19 (0.20)
Breakout-MinAtar,9.17 (0.08)*,8.69 (0.14),8.37 (0.21),9.08 (0.08),9.09 (0.04)
Freeway-MinAtar,2.24 (0.05),2.22 (0.04),1.38 (0.13),2.17 (0.03),2.17 (0.03)
Asterix-MinAtar,2.90 (0.10),3.08 (0.04),3.08 (0.08),2.96 (0.02),3.07 (0.03)†
